student_ID,Age,Gender,daily_screen_time_hours,social_media_hours,online_study_hours,gaming_hours,sleep_hours,attendance_percentage,offline_study_hours,previous_sem_CGPA,current_sem_CGPA
S011,23,Female,6.2,2.5,3.8,1.2,7.1,79,2.6,7.74,7.94
S012,24,Female,4.9,2,5.1,1,8.3,79,2.6,7.72,7.92
S013,18,Female,7.9,3.2,2.1,1.6,7.1,68,2.3,6.67,6.87
S014,17,Male,10,4,0,2,5.9,63,2.1,6.1,6.3
S015,23,Female,7.7,3.1,2.3,1.5,6.4,69,2.3,6.77,6.97
S016,25,Male,7.6,3,2.4,1.5,6.9,68,2.3,6.66,6.86
S017,25,Female,4.1,1.6,5.9,0.8,7.8,96,3.2,9.48,9.68
S018,24,Male,4.6,1.8,5.4,0.9,7.7,91,3.1,8.97,9.17
S019,18,Female,5,2,5,1,7.3,85,2.9,8.38,8.58
S020,18,Female,7.1,2.8,2.9,1.4,6.3,74,2.5,7.26,7.46
S021,23,Female,9.4,3.8,0.6,1.9,6.4,62,2.1,6.08,6.28
S022,21,Female,4.3,1.7,5.7,0.9,7.6,84,2.8,8.25,8.45
S023,17,Male,6.1,2.4,3.9,1.2,6.8,71,2.4,6.93999999999999,7.14
S024,19,Male,9.9,4,0.1,2,5.3,65,2.2,6.3,6.5
S025,23,Female,8.3,3.3,1.7,1.7,5.9,65,2.2,6.33,6.53
S026,17,Female,4.7,1.9,5.3,0.9,7.9,95,3.2,9.33,9.53
S027,22,Male,6.2,2.5,3.8,1.2,7,76,2.5,7.39999999999999,7.6
S028,17,Male,7.4,3,2.6,1.5,7.5,72,2.4,7.06,7.26
S029,19,Male,7.4,3,2.6,1.5,6.7,77,2.6,7.53,7.73
S030,21,Male,9.4,3.8,0.6,1.9,5.8,61,2,5.92,6.12
S031,19,Female,7.6,3,2.4,1.5,6.3,74,2.5,7.25,7.45
S032,22,Female,9.3,3.7,0.7,1.9,5.4,63,2.1,6.10999999999999,6.31
S033,23,Female,8.8,3.5,1.2,1.8,6.3,57,1.9,5.54,5.74
S034,20,Male,6.1,2.4,3.9,1.2,6.4,78,2.6,7.68999999999999,7.89
S035,21,Male,9.2,3.7,0.8,1.8,5.8,55,1.8,5.31,5.51
S036,24,Male,4.7,1.9,5.3,0.9,8.4,84,2.8,8.28,8.48
S037,18,Male,6.4,2.6,3.6,1.3,6.4,68,2.3,6.68,6.88
S038,18,Female,5.8,2.3,4.2,1.2,7.1,83,2.8,8.17,8.37
S039,19,Female,6.5,2.6,3.5,1.3,6.5,68,2.3,6.64,6.84
S040,20,Male,4.9,2,5.1,1,8.5,87,2.9,8.58,8.78
S041,21,Female,8.6,3.4,1.4,1.7,6.1,58,1.9,5.60999999999999,5.81
S042,25,Female,9.9,4,0.1,2,6.2,60,2,5.81999999999999,6.02
S043,19,Female,7,2.8,3,1.4,7.3,76,2.5,7.43,7.63
S044,25,Male,7.1,2.8,2.9,1.4,7,70,2.4,6.87,7.07
S045,25,Female,6.4,2.6,3.6,1.3,7.3,74,2.5,7.22,7.42
S046,25,Female,9.5,3.8,0.5,1.9,5.4,66,2.2,6.43999999999999,6.64
S047,21,Female,7.2,2.9,2.8,1.4,6.1,70,2.4,6.89,7.09
S048,20,Female,7.8,3.1,2.2,1.6,6.5,72,2.4,7.01,7.21
S049,24,Female,6.4,2.6,3.6,1.3,7.3,78,2.6,7.67,7.87
S050,19,Male,9.4,3.8,0.6,1.9,5,62,2.1,6.09,6.29
S051,19,Female,4,1.6,6,0.8,7.8,81,2.7,7.91999999999999,8.12
S052,20,Female,10,4,0,2,5,57,1.9,5.53,5.73
S053,19,Female,7.9,3.2,2.1,1.6,7,78,2.6,7.62,7.82
S054,22,Female,5.6,2.2,4.4,1.1,8.5,82,2.8,8.09,8.29
S055,21,Female,7.8,3.1,2.2,1.6,6.8,77,2.6,7.55,7.75
S056,17,Female,8.3,3.3,1.7,1.7,5,58,2,5.67,5.87
S057,25,Male,9.6,3.8,0.4,1.9,6.4,67,2.2,6.54,6.74
S058,17,Female,9.6,3.8,0.4,1.9,6.4,60,2,5.85999999999999,6.06
S059,18,Male,5.8,2.3,4.2,1.2,8.3,85,2.9,8.37,8.57
S060,18,Female,6.4,2.6,3.6,1.3,7.4,78,2.6,7.60999999999999,7.81
S061,18,Female,8,3.2,2,1.6,5.4,59,2,5.77,5.97
S062,23,Female,8.4,3.4,1.6,1.7,6.1,64,2.1,6.21,6.41
S063,23,Male,8.9,3.6,1.1,1.8,6.4,66,2.2,6.43,6.63
S064,23,Male,7.8,3.1,2.2,1.6,6.1,70,2.3,6.83,7.03
S065,19,Male,6.3,2.5,3.7,1.3,6.9,69,2.3,6.71,6.91
S066,22,Male,4.9,2,5.1,1,8.3,97,3.3,9.56,9.76
S067,17,Female,4.2,1.7,5.8,0.8,7.5,94,3.2,9.25,9.45
S068,22,Male,8.6,3.4,1.4,1.7,5.9,57,1.9,5.58,5.78
S069,20,Female,5.2,2.1,4.8,1,8,86,2.9,8.42,8.62
S070,24,Male,9.9,4,0.1,2,5.5,61,2.1,5.97,6.17
S071,21,Female,6.6,2.6,3.4,1.3,6.4,76,2.6,7.49,7.69
S072,17,Male,9,3.6,1,1.8,5.6,64,2.1,6.2,6.4
S073,21,Male,5.5,2.2,4.5,1.1,8.1,89,3,8.7,8.9
S074,23,Male,9.7,3.9,0.3,1.9,5.8,64,2.2,6.26,6.46
S075,21,Male,5.5,2.2,4.5,1.1,8.1,85,2.8,8.31,8.51
S076,21,Male,4.2,1.7,5.8,0.8,8.1,95,3.2,9.31,9.51
S077,22,Male,6.1,2.4,3.9,1.2,7,73,2.5,7.16,7.36
S078,17,Female,9.3,3.7,0.7,1.9,5,58,1.9,5.64,5.84
S079,18,Male,8,3.2,2,1.6,5.1,57,1.9,5.51,5.71
S080,19,Female,9.2,3.7,0.8,1.8,6.2,63,2.1,6.13,6.33
S081,17,Male,4.8,1.9,5.2,1,8.2,94,3.1,9.22,9.42
S082,19,Female,7.9,3.2,2.1,1.6,6.4,70,2.4,6.85,7.05
S083,18,Male,8.1,3.2,1.9,1.6,5.5,55,1.9,5.39,5.59
S084,20,Male,5.7,2.3,4.3,1.1,8,80,2.7,7.83999999999999,8.04
S085,24,Female,8.8,3.5,1.2,1.8,5.3,58,2,5.67,5.87
S086,23,Female,7.5,3,2.5,1.5,6.2,76,2.6,7.47999999999999,7.68
S087,23,Male,6,2.4,4,1.2,7.3,79,2.6,7.72,7.92
S088,20,Female,8.4,3.4,1.6,1.7,5.6,58,1.9,5.60999999999999,5.81
S089,25,Male,6.3,2.5,3.7,1.3,6.1,71,2.4,6.96,7.16
S090,19,Female,4.5,1.8,5.5,0.9,8.4,84,2.8,8.24,8.44
S091,20,Male,7.8,3.1,2.2,1.6,6.4,73,2.4,7.14,7.34
S092,21,Female,5.3,2.1,4.7,1.1,8.2,96,3.2,9.49,9.69
S093,23,Male,9.8,3.9,0.2,2,5.1,67,2.3,6.59,6.79
S094,17,Male,6.1,2.4,3.9,1.2,6.2,69,2.3,6.74,6.94
S095,18,Male,9,3.6,1,1.8,5.3,60,2,5.85,6.05
S096,24,Female,8.2,3.3,1.8,1.6,5.1,56,1.9,5.41,5.61
S097,25,Male,9.2,3.7,0.8,1.8,5.4,66,2.2,6.43999999999999,6.64
S098,23,Male,8.5,3.4,1.5,1.7,5.1,59,2,5.79,5.99
S099,20,Female,5.5,2.2,4.5,1.1,7.7,84,2.8,8.26,8.46
S100,25,Male,8.6,3.4,1.4,1.7,6.1,65,2.2,6.37,6.57
S101,22,Female,6.9,2.8,3.1,1.4,6.8,69,2.3,6.7,6.9
S102,22,Male,4.1,1.6,5.9,0.8,7.1,97,3.2,9.54,9.74
S103,25,Female,10,4,0,2,5.8,56,1.9,5.39999999999999,5.6
S104,21,Female,5,2,5,1,7.4,82,2.7,8.03,8.23
S105,24,Female,7.5,3,2.5,1.5,6.1,78,2.6,7.68,7.88
S106,24,Female,6.7,2.7,3.3,1.3,6.4,75,2.5,7.34,7.54
S107,22,Male,5.4,2.2,4.6,1.1,7.5,83,2.8,8.13,8.33
S108,22,Female,7.2,2.9,2.8,1.4,7.2,71,2.4,6.97,7.17
S109,24,Female,6.5,2.6,3.5,1.3,7.4,75,2.5,7.3,7.5
S110,22,Male,9.2,3.7,0.8,1.8,5,55,1.9,5.35999999999999,5.56
S111,25,Female,6.9,2.8,3.1,1.4,6.6,79,2.7,7.78,7.98
S112,19,Male,9,3.6,1,1.8,5.1,62,2.1,6.04,6.24
S113,21,Male,5.6,2.2,4.4,1.1,8.3,79,2.6,7.71,7.91
S114,21,Female,8.5,3.4,1.5,1.7,5.9,66,2.2,6.49,6.69
S115,19,Male,9.1,3.6,0.9,1.8,5.7,58,1.9,5.62,5.82
S116,24,Male,7.6,3,2.4,1.5,7,70,2.4,6.87,7.07
S117,17,Female,8,3.2,2,1.6,6.2,61,2.1,5.97999999999999,6.18
S118,23,Male,9.8,3.9,0.2,2,6.2,56,1.9,5.41,5.61
S119,22,Female,8.7,3.5,1.3,1.7,6.2,63,2.1,6.13,6.33
S120,18,Female,4.1,1.6,5.9,0.8,7.9,85,2.8,8.3,8.5
S121,19,Male,7.3,2.9,2.7,1.5,7.4,73,2.4,7.14,7.34
S122,17,Female,9.7,3.9,0.3,1.9,6.4,56,1.9,5.49,5.69
S123,19,Male,4.4,1.8,5.6,0.9,7.9,78,2.6,7.68999999999999,7.89
S124,24,Female,4.8,1.9,5.2,1,7.2,80,2.7,7.86,8.06
S125,18,Male,5.1,2,4.9,1,8.3,84,2.8,8.29,8.49
S126,22,Male,5.2,2.1,4.8,1,7.3,78,2.6,7.68,7.88
